id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-06-23T01:34:15;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-06-22T20:34:35;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-06-22T22:43:37;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-06-22T15:28:02;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-06-23T06:51:08;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-06-22T18:13:14;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-06-22T21:09:46;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-06-22T11:12:25;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-06-22T14:02:01;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-06-22T14:44:26;601;74069
